Classroom            7062528 2883418 3068497 3483566 2774538 0.86 1.13 1.12 2.99 0.65 0.91 0.08 0.08
FireDancer           6220800 1954896 1122307 1446777 999828  0.66 0.61 0.97 3.70 0.49 0.50 0.06 0.05
Friends              813750  412784  430181  444953  398254  0.12 0.13 0.10 0.60 0.09 0.11 0.01 0.01
HaToy                6912000 2256993 2263611 2801306 2303778 0.77 0.98 1.66 2.51 0.57 0.76 0.08 0.07
Incoming             6912000 1760433 1764787 2159811 1711190 0.65 0.87 1.73 2.52 0.48 0.67 0.08 0.07
LegoBulldozer        5308416 1845426 1893194 2305252 1844618 0.61 0.78 1.27 2.00 0.45 0.63 0.06 0.06
Lenna                786432  445190  488279  474649  427318  0.13 0.14 0.06 0.37 0.09 0.12 0.01 0.01
Mcbeth               6220800 1861334 1849757 2314138 1777762 0.64 0.86 1.72 2.62 0.46 0.65 0.07 0.07
PlantMove            6220800 2142938 1893925 2254943 1824598 0.70 0.85 1.30 2.50 0.51 0.64 0.07 0.07
Take2-1              2764800 686036  636037  801441  656422  0.26 0.32 0.75 0.82 0.19 0.22 0.03 0.03
